srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
2829088,AN,3,560011,233,233,131,A,ADLD,560093,30-07-2017,27-07-2017,01-02-2018,4467,06-02-2018,1.44E+01
2829866,AJ,2,110018,233,233,228,A,ADLD,110034,17-07-2017,25-01-2017,01-02-2018,4388,08-02-2018,1.39E+01
2894489,AJ,3,560011,233,233,228,C,ADLD,590014,12-01-2018,11-01-2018,21-02-2018,4460,28-02-2018,1.38E+01
2876708,AJ,2,110018,233,233,228,B,ADLD,250110,07-08-2017,21-05-2017,16-02-2018,4388,26-02-2018,1.49E+01
2890283,AN,22,400104,233,233,131,C,ADLD,496001,10-11-2017,22-09-2017,20-02-2018,4581,23-02-2018,1.34E+01
2897438,C,6,160059,233,233,131,B,ADLD,160036,12-12-2017,10-12-2017,22-02-2018,4549,27-02-2018,1.40E+01
2849010,C,2,110018,233,233,228,A,ADLD,110065,08-09-2017,07-05-2017,07-02-2018,4091,02-03-2018,1.42E+01
2887783,U,2,110018,233,233,228,A,ADLD,110092,02-02-2018,22-09-2017,19-02-2018,4095,26-02-2018,1.58E+01
2941799,AN,21,110015,233,233,131,B,ADLD,124001,31-12-2017,26-06-2017,05-03-2018,4580,14-03-2018,1.15E+01
2973976,AN,22,400104,233,233,131,A,ADLD,400011,22-05-2017,26-03-2018,13-03-2018,4581,17-03-2018,1.25E+01
2977421,J,2,110018,233,233,131,A,ADLD,110006,31-12-2017,25-12-2017,13-03-2018,4154,19-03-2018,1.42E+01
2982990,AN,26,560066,233,233,131,A,ADLD,600097,12-06-2017,10-06-2017,15-03-2018,5001,20-03-2018,1.13E+01
2979785,AJ,2,110018,233,233,131,A,ADLD,201301,24-10-2017,21-10-2017,14-03-2018,4388,20-03-2018,1.23E+01
2984029,H,1,400059,233,233,131,B,ADLD,440027,25-02-2018,13-02-2018,15-03-2018,4011,19-03-2018,1.41E+01
3012909,AD,2,110018,233,233,131,A,ADLD,201301,18-11-2017,11-07-2017,24-03-2018,4148,29-03-2018,1.32E+01
3030307,AJ,27,110034,233,233,131,A,ADLD,110092,16-11-2017,25-08-2017,28-03-2018,4388,31-03-2018,1.19E+01
3048314,AN,7,500004,233,233,131,A,ADLD,500011,07-02-2018,25-04-2017,02-04-2018,4403,10-04-2018,1.24E+01
3060524,C,2,110018,233,233,228,A,ADLD,110029,15-03-2018,08-02-2018,06-04-2018,4094,12-04-2018,1.17E+01
3064259,AN,21,110015,233,233,131,B,ADLD,124001,05-05-2017,02-05-2017,07-04-2018,4580,17-04-2018,9.87E+00
